Cycleptus meridionalis,Cycleptus meridionalis,,Not a Migrant,,Potamodromous,,,,,,,,,,Breeding,,,"potamodromous, longitudinal",Nearctic,more than one central river,Least Concern,Unknown,2013,100-500(km),3,,,https://seafwa.org/sites/default/files/journal-articles/Mettee-59-67.pdf,Paper,"Burr, B.M. and Mayden, R.L. 1999. A new species of Cycleptus (Cypriniformes: Catostomidae) from Gulf Slope drainages of Alabama, Mississippi, and Louisiana, with a review of the distribution, biology, and conservation status of the genus. Bulletin of the Alabama Museum of Natural History 20: 19-57. https://openurl.ebsco.com/EPDB%3Agcd%3A14%3A5497566/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A125534733&crl=c&link_origin=scholar.google.de ",Paper,https://doi.org/10.1656/058.014.0116,Paper,,,,,,Cycleptus meridionalis,,,,,,,,,
Cyclocheilichthys apogon,Cyclocheilichthys apogon,,Full Migrant,,,,Grey,,,,,,,,Breeding,FishBase,,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Unknown,2020,0-100(km),3,,,,,,,,,,,,Cyclocheilichthys apogon,,,,Cyclocheilichthys apogon,,,,,,,Lateral migrant
Cyclocheilichthys armatus,Cyclocheilichthys armatus,,Full Migrant,,,,Grey,,,,,,,,Breeding,IUCN,,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Unknown,2020,0-100(km),3,,,,,,,,,,,,Cyclocheilichthys armatus,,,,Cyclocheilichthys armatus,,,,,,,lateral migrant
Cyclocheilos enoplos,Cyclocheilichthys enoplos,potamodromous,Full Migrant,,,,White,,,,,,,,Breeding,FishBase,,"potamodromous, longitudinal",Indomalayan,more than one central river,Least Concern,Decreasing,2012,500-3000(km),3,,,https://www.researchgate.net/profile/Peng-Bun-Ngor/publication/327262019_The_dry_season_migration_pattern_of_five_Mekong_fish_species_Riel_Henicorhynchus_spp_Chhkok_Cyclocheilichthys_enoplos_Pruol_Cirrhinus_microlepis_Pra_Pangasianodon_hypophthalmus_and_Trasork_Probarbus_j/links/5b8504124585151fd137155e/The-dry-season-migration-pattern-of-five-Mekong-fish-species-Riel-Henicorhynchus-spp-Chhkok-Cyclocheilichthys-enoplos-Pruol-Cirrhinus-microlepis-Pra-Pangasianodon-hypophthalmus-and-Trasork-Probarbu.pdf,Paper,,,,,,,Cyclocheilichthys enoplos,Cyclocheilichthys enoplos,,,,Cyclocheilichthys enoplos,,,,,,,
Cyclocheilos furcatus,Cyclocheilichthys furcatus,potamodromous,Full Migrant,,,,,,,,,,,,Little information,"known migratory (https://link.springer.com/article/10.1007/s10661-022-10174-w), uncertain reasoning. It inhabits large rivers and migrates into flooded riparian forests and smaller streams during the rainy season. It rarely occurs in impoundments. Little is known about the biology of this species.",,"potamodromous, lateral",Indomalayan,one large river,Least Concern,Unknown,2011,0-100(km),1,,,,,,,,,,,Cyclocheilichthys furcatus,Cyclocheilichthys furcatus,,,,,,,,,,,
Cyclocheilichthys heteronema,Cyclocheilichthys heteronema,,Full Migrant,,,,Grey,,,,,,,,Breeding,"lateral confirmed by IUCN, FB, coincides with wet season, likely breeding (https://www.proquest.com/docview/302788469?pq-origsite=gscholar&fromopenview=true)",,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Unknown,2020,0-100(km),3,,,,,,,,,,,,Cyclocheilichthys heteronema,,,,Cyclocheilichthys heteronema,,,,,,,Lateral migrant
Cyclocheilichthys lagleri,Cyclocheilichthys lagleri,,Full Migrant,,,,Grey,,,,,,,,Breeding,"Lateral confirmed from IUCN, for breeding assumed from family (https://www.proquest.com/docview/302788469?pq-origsite=gscholar&fromopenview=true)",,"potamodromous, lateral",Indomalayan,one large river,Least Concern,Unknown,2012,0-100(km),3,,,,,,,,,,,,Cyclocheilichthys lagleri,,,,Cyclocheilichthys lagleri,,,,,,,Lateral migrant
Cynodon gibbus,Cynodon gibbus,,,,,lateral migration,,,500to3000km,,,,,,,,,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2023,100-500(km),2,,,https://www.minambiente.gov.co/wp-content/uploads/2021/10/Gui%CC%81a-especies-migratorias-de-la-biodiversidad-en-Colombia-Volumen-2-peces.pdf ,Report,,,,,,,,,,,Cynodon gibbus,,,Cynodon gibbus,,,,,
Cynoglossus feldmanni,Cynoglossus feldmanni,,,,,,White,,,,,,,,,,,little information,Indomalayan,more than one central river,Least Concern,Unknown,2012,little information,0,,,,,,,,,,,,,,,,Cynoglossus feldmanni,,,,,,,
Cynoglossus gracilis,Cynoglossus gracilis,,Full Migrant,,,,,,,,,,,,,,,amphidromous,,coastal,Data Deficient,Unknown,2021,0-100(km),3,,,,,,,,,,,,Cynoglossus gracilis,,,,,,,,,,,amphidromous
Cynoglossus lingua,Cynoglossus lingua,amphidromous,,,,,White,,,,,,,,,,,amphidromous,Indomalayan,coastal,Least Concern,Unknown,2020,0-100(km),3,,,,,,,,,,,Cynoglossus lingua,,,,,Cynoglossus lingua,,,,,,,
Cynoglossus microlepis,Cynoglossus microlepis,potamodromous,Full Migrant,,,,White,,,,,,,,Little information,"confirmed lateral IUCN, little other information online. More lateral use, not information on migration. Inhabits mainstream rivers and larger estuaries in freshwater only. Migratory (Riede 2004). Known range confined to flooded forest and rivers in lower Mekong. (Rainboth 1996). ",,"potamodromous, lateral",Indomalayan,more than one central river,Least Concern,Stable,2012,0-100(km),2,,,,,,,,,,,Cynoglossus microlepis,Cynoglossus microlepis,,,,Cynoglossus microlepis,,,,,,,
Cynoglossus puncticeps,Cynoglossus puncticeps,,,,,,White,,,,,,,,,,,amphidromous,,more than one central river,Least Concern,Unknown,2020,0-100(km),3,,,,,,,,,,,,,,,,Cynoglossus puncticeps,,,,,,,
Cyphocharax abramoides,Cyphocharax abramoides,,,,,lateral migration,,,,,,,,,,,,little information,Neotropical,more than one central river,Least Concern,Unknown,2024,little information,0,,,,,,,,,,,,,,,Cyphocharax abramoides,,,,,,,,
Cyphocharax corumbae,Cyphocharax corumbae,,Full Migrant,,,,,,,,,,,,Little information,"No info on migration: Cyphocharax corumbae is widely distributed in the Upper Paraná River, mainly in the Paranaíba River drainage, the Upper São Francisco River and the Velhas River drainage.",,little information,Neotropical,more than one central river,Least Concern,Stable,2022,little information,0,,,,,,,,,,,,Cyphocharax corumbae,,,,,,,,,,,potamodromous
Cyphocharax magdalenae,Cyphocharax magdalenae,,Full Migrant,,,,,,Less100km,,,,,,Little information,"Lateral, less than 100km. This freshwater, benthopelagic species feeds exclusively on detritus and is found in swamps, marshes, and rivers (Hernández-Serna et al. 2015). It is abundant in floodplain lakes (Jiménez-Segura et al. 2011), and less common in river tributaries. In tributaries, it is found in shallow waters with sandy or muddy bottoms and moderate current. Migration patterns require further study, but it is known to migrate less than 100 km. It is a fairly small fish, maturing at 11.5 cm TL and growing up to 18 cm (Bussing 1998).",,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Decreasing,2020,0-100(km),3,,,https://www.minambiente.gov.co/wp-content/uploads/2021/10/Gui%CC%81a-especies-migratorias-de-la-biodiversidad-en-Colombia-Volumen-2-peces.pdf ,Report,,,,,,,,Cyphocharax magdalenae,,,,,,Cyphocharax magdalenae,,,,,potamodromous
Cyphocharax modestus,Cyphocharax modestus,potamodromous,,,,,,,,,,,,,,No sign of migratory behaviour. Good study showing non-migratory habitat use: https://www.scielo.sa.cr/scielo.php?pid=S0034-77442008000400032&script=sci_arttext&tlng=en,,non-migratory,Neotropical,one large river,Least Concern,Unknown,2024,non-migratory,2,,,https://actalb.org/article/627b113b782aad05cd1891e4/pdf/alb-17-1-45.pdf,Paper,,,,,,,Cyphocharax modestus,,,,,,,,,,,,
Cyphocharax naegelii,Cyphocharax naegelii,potamodromous,,potamodromous,,,,,,,,,,,Little information,"longitudinal from FishBase, little other info. Potnetial information in (https://web.s.ebscohost.com/abstract?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=1806129X&AN=141555467&h=FSu2RszItKIZsItijhO13aHhAdEOSTU4nt950sN2iH0TIPOX6R4Q41jLzZj6zNZoeVMMsCDOVTGodFLDK91jcA%3d%3d&crl=c&resultNs=AdminWebAuth&resultLocal=ErrCrlNotAuth&crlhashurl=login.aspx%3fdirect%3dtrue%26profile%3dehost%26scope%3dsite%26authtype%3dcrawler%26jrnl%3d1806129X%26AN%3d141555467)",,"potamodromous, longitudinal",Neotropical,one large river,Least Concern,Unknown,2022,0-100(km),2,,,,,,,,,,,Cyphocharax naegelii,,Cyphocharax nagelii,,,,,,,,,,
Cyphocharax nigripinnis,Cyphocharax nigripinnis,,,,,little information,,,Less100km,,,,,,,,,"potamodromous, longitudinal",Neotropical,one large river,Least Concern,Unknown,2022,0-100(km),3,,,https://www.minambiente.gov.co/wp-content/uploads/2021/10/Gui%CC%81a-especies-migratorias-de-la-biodiversidad-en-Colombia-Volumen-2-peces.pdf ,Report,,,,,,,,,,,Cyphocharax nigripinnis,,,Cyphocharax nigripinnis,,,,,
Cyphocharax oenas,Cyphocharax oenas,,Full Migrant,,,,,,,,,,,,Little information,"little information, hard to find anything online",,little information,Neotropical,one large river,Least Concern,Stable,2022,little information,0,,,,,,,,,,,,Cyphocharax oenas,,,,,,,,,,,potamodromous
Cyphocharax plumbeus,Cyphocharax plumbeus,,,,,longitudinal migration,,,,,,,,,,,,little information,Neotropical,more than one central river,Least Concern,Unknown,2024,little information,0,,,https://doi.org/10.1023/B:EBFI.0000043156.69324.94,Paper,,,,,,,,,,,Cyphocharax plumbeus,,,,,,,,
Cyphocharax spiluropsis,Cyphocharax spiluropsis,,,,,longitudinal migration,,,,,,,,,,,,little information,Neotropical,one large river,Least Concern,Unknown,2024,little information,0,,,,,,,,,,,,,,,Cyphocharax spiluropsis,,,,,,,,
Cyphocharax voga,Cyphocharax voga,potamodromous,Full Migrant,,,,,,,,,,,,Little information,"migratory in fresh water from IUCN, little other information online",,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Stable,2024,0-100(km),1,,,,,,,,,,,Cyphocharax voga,Cyphocharax voga,,,,,,,,,,,
Cyprinion macrostomum,Cyprinion macrostomum,,Full Migrant,,,,,,,,,,,,Little information,"implied by IUCN, little other info (reproductive paper here - https://aquadocs.org/handle/1834/13353). Inhabits a very wide range of waterbodies at least seasonally connected to flowing waters including reservoirs and many strongly modified and with brackish waters.",,"potamodromous, lateral",Palearctic,more than one central river,Least Concern,Decreasing,2014,0-100(km),1,,,http://hdl.handle.net/1834/13353,Paper,,,,,,,,Cyprinion macrostomum,,,,,,,,,,,potamodromous
Cyprinus barbatus,Cyprinus barbatus,,,,,,,,,,,,,Grey fish,,,,"potamodromous, lateral",,lake,Critically Endangered,Decreasing,2011,0-100(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,,,,,,,,,,,,,
Cyprinus carpio,Cyprinus carpio,potamodromous,Full Migrant,potamodromous,Potamodromous,,White,,,,Potamodromous,#N/A,,,Breeding,"IUCN, FB",,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Decreasing,2024,0-100(km),2,,Partial pop mig.,https://doi.org/10.1016/j.jglr.2021.03.004,Paper,,,,,,,Cyprinus carpio,Cyprinus carpio,Cyprinus carpio carpio,Cyprinus carpio,,Cyprinus carpio,,,,Cyprinus carpio,Cyprinus carpio,,
Cyprinus chilia,Cyprinus chilia,,,,,,,,,,,,,Grey fish,,,,"potamodromous, lateral",,more than one central river,Endangered,Decreasing,2011,0-100(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,,,,,,,,,,,,,
Dajaus monticola,Dajaus monticola,catadromous,Full Migrant,catadromous,Catadromous,,,,,,,,,,,,,catadromous,Nearctic|Neotropical,more than one central river,Least Concern,Stable,2019,100-500(km),2,,Partial pop mig.,"Kubicek, Kole & Pinion, Amanda & Conway, Kevin. (2019). New records of the Mountain Mullet, Dajaus monticola (Bancroft, 1834), and an overview of historical records in Texas. Check List. 15. 471-478. 10.15560/15.3.471. https://checklist.pensoft.net/article/34458/download/pdf/ ",Paper,https://doi.org/10.1038/s41598-023-38482-2,Paper,,,,,Dajaus monticola,Dajaus monticola,Agonostomus monticola,Agonostomus monticola,,,,,,,,,
Dallia pectoralis,Dallia pectoralis,,Not a Migrant,,Potamodromous,,,,,,,,,,Breeding,,,"potamodromous, longitudinal",Nearctic|Palearctic,more than one central river,Least Concern,Stable,2020,0-100(km),1,,,https://doi.org/10.2307/1439486,Paper,"Morrow, J.E., 1980. The freshwater fishes of Alaska. University of. B.C. Animal Resources Ecology Library. 248p. https://cir.nii.ac.jp/crid/1130000794267420288 ",Paper,https://doi.org/10.1016/j.crphys.2022.01.001,Paper,,,,,,Dallia pectoralis,,,,,,,,,
Danio albolineatus,Danio albolineatus,,,,,,Grey,,,,,,,,,,,little information,Indomalayan,more than one central river,Least Concern,Stable,2012,little information,0,,,,,,,,,,,,,,,,Danio albolineatus,,,,,,,
Datnioides polota,Datnioides polota,,,,,,White,,,,,,,,,,,little information,Australasian|Indomalayan,more than one central river,Least Concern,Stable,2020,little information,0,,,,,,,,,,,,,,,,Datnioides polata,,,,,,,
Datnioides pulcher,Datnioides pulcher,,,,,,,,,,,,,Grey fish,,,,"potamodromous, lateral",,more than one central river,Critically Endangered,Decreasing,2011,0-100(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,,,,,,,,,,,,,
Datnioides undecimradiatus,Datnioides undecimradiatus,potamodromous,Full Migrant,,,,White,,,,,,,"Short distance, potamodromous",Little information,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecs2.2366,,"potamodromous, longitudinal",Indomalayan,one large river,Vulnerable,Decreasing,2011,100-500(km),3,,,https://doi.org/10.1080/23308249.2024.2401018,Paper,,,,,,,Datnioides undecimradiatus,Datnioides undecimradiatus,,,,Datnioides undecimradiatus,,,,,,,
Dawkinsia filamentosa,Dawkinsia singhala,,Full Migrant,,,,,,,,,,,,,"The IUCN Movement category is unknown, not Full Migrant",,little information,NA,more than one central river,Least Concern,Stable,2020,little information,0,,,,,,,,,,,,Dawkinsia singhala,,,,,,,,,,,lateral migration
Dayella malabarica,Dayella malabarica,amphidromous,,,,,,,,,,,,,,,,amphidromous,Indomalayan,coastal,Least Concern,Unknown,2017,0-100(km),3,,,,,,,,,,,Dayella malabarica,,,,,,,,,,,,
Daysciaena albida,Daysciaena albida,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2020,0-100(km),2,,,,,,,,,,,Daysciaena albida,,,,,,,,,,,,
Decorus decorus,Decorus decorus,,Full Migrant,,,,,,,,,,,,Little information,"longitudinal from IUCN, little other information regarding the species online. Inhabits gravel bottoms of mountain streams. It is a migratory species, and movement is impacted by dams on the Bei Jiang. The generation length is five years (K. Cui pers. comm. 2011).",,"potamodromous, longitudinal",Indomalayan,one large river,Critically Endangered,Decreasing,2011,100-500(km),2,Obligatory,,,,,,,,,,,Decorus decorus,,,,,,,,,,,potamodromous
Decorus tungting,Decorus tungting,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,,"potamodromous, longitudinal",Indomalayan,one large river,Vulnerable,Decreasing,2023,0-100(km),1,,,,,,,,,,,,Decorus tungting,,,,,,,,,,,potamodromous
Deltistes luxatus,Deltistes luxatus,potamodromous,Full Migrant,,Potamodromous,,,,,,,,,,Breeding,"non-migratory for our purposes, IUCN",,"potamodromous, longitudinal",Nearctic,one large river,Endangered,Decreasing,2013,0-100(km),3,,Partial pop mig.,https://doi.org/10.3133/ofr20141186,Report,,,,,,,Deltistes luxatus,Deltistes luxatus,,Deltistes luxatus,,,,,,,,,
---,Dendrophysa russelii,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2020,0-100(km),2,,,,,,,,,,,Dendrophysa russelii,,,,,,,,,,,,
Deuterodon luetkenii,Deuterodon luetkenii,potamodromous,,potamodromous,,,,,,,,,,,,FB does not elaborate past 'potamodromous' rank; little other research,,little information,Neotropical,more than one central river,Least Concern,Stable,2023,little information,0,,,https://doi.org/10.1111/eff.12675,Paper,,,,,,,Deuterodon luetkenii,,Hyphessobrycon luetkenii,,,,,,,,,,
Devario leptos,Devario leptos,,,,,,White,,,,,,,,,,,little information,Indomalayan,one large river,Least Concern,Unknown,2012,little information,0,,,,,,,,,,,,,,,,Devario leptos,,,,,,,
Devario monticola,Devario monticola,,Nomadic,,,,,,,,,,,,,"confined to one stretch (https://www.biotaxa.org/ft/article/view/-3-5), nomadic by IUCN, likely non-migratory for our purposes, following family, no tag in fishbase",,non-migratory,Indomalayan,one large river,Critically Endangered,Decreasing,2019,non-migratory,2,,,,,,,,,,,,Devario monticola,,,,,,,,,,,potamodromous
Deveximentum insidiator,Deveximentum insidiator,amphidromous,,amphidromous,,,,,,,,,,,,,,coastal,,coastal,Data Deficient,Unknown,2024,non-migratory,0,,,,,,,,,,,Deveximentum insidiator,,Secutor insidiator,,,,,,,,,,
Diapterus auratus,Diapterus auratus,,,,Semi-anadromous,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,coastal,Least Concern,Unknown,2015,0-100(km),3,,,,,,,,,,,,,,Diapterus auratus,,,,,,,,,
Dicentrarchus labrax,Dicentrarchus labrax,,Full Migrant,,,,,,,,Catadromous,,,,,,,amphidromous,Palearctic,coastal,Near Threatened,Decreasing,2024,0-100(km),3,,,https://doi.org/10.1093/icesjms/fsad087,Paper,,,,,,,,Dicentrarchus labrax,,,,,,,,Dicentrarchus labrax,,,amphidromous
Dichotomyctere fluviatilis,Dichotomyctere fluviatilis,potamodromous,,potamodromous,,,Estuarine,,,,,,,,Little information,"may be amphidromous rather than potamodromous; IUCN description reads """"""""""""""""can possibly only tolerate freshwater for a short period of time""""""""""""""""",,amphidromous,,coastal,Least Concern,Unknown,2014,0-100(km),3,,,,,,,,,,,Dichotomyctere fluviatilis,,Tetraodon fluviatilis,,,Dichotomyctere fluviatilis,,,,,,,
Dionda diaboli,Dionda diaboli,,Altitudinal Migrant,,,,,,,,,,,,Little information,"Nothing on longitudinal migration. Dionda diaboli is a channel inhabitant under normal flow regimes, but may occur in shallow riffles after flooding. Additionally, this species was observed in the upper reach of the Devils River, an area that frequently experiences dewatering that causes local extirpations (Garrett et al. 1992).",,non-migratory,Nearctic,one large river,Endangered,Decreasing,2019,non-migratory,2,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102364/Dionda_diaboli,,,,,,,,,Dionda diaboli,,,,,,,,,,,potamodromous
Diplodus cervinus,Diplodus cervinus,,,oceano-estuarine,,,,,,,,,,,,,,coastal,Afrotropical|Palearctic,coastal,Least Concern,Decreasing,2014,non-migratory,0,,,,,,,,,,,,,Diplodus cervinus cervinus,,,,,,,,,,
Diplodus sargus,Diplodus sargus,,,oceano-estuarine,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2014,0-100(km),3,,,,,,,,,,,,,Diplodus sargus sargus,,,,,,,,,,
Diptychus maculatus,Diptychus maculatus,potamodromous,Altitudinal Migrant,,,,,,,,,,,,Little information,"It is a potamodromous fish, migrating within streams (Riede 2004). This species occurs in cold and fast running streams and rivers as well as glacial lakes between 1,000-5,000 m asl (Jabbar et al. 2004, Raina and Petr 1999). It has an upper water temperature tolerance of around 20°C (Sehgal 1999). It feeds on periphyton from rocks and stones and associated benthic invertebrates (Raina and Petr 1999). This genus is characterised by a low growth rate, low fecundity and late sexual maturity (Meng et al. 2015).",,"potamodromous, longitudinal",Palearctic,more than one central river,Least Concern,Decreasing,2020,0-100(km),2,,,,,,,,,,,Diptychus maculatus,Diptychus maculatus,,,,,,,,,,,
Discherodontus ashmeadi,Discherodontus ashmeadi,,Full Migrant,,,,White,,,,,,,,Breeding,as reported in https://www.mrcmekong.org/resource/ajhzq7,,"potamodromous, longitudinal",Indomalayan,one large river,Least Concern,Stable,2020,0-100(km),2,,,https://digitalarchive.worldfishcenter.org/bitstream/handle/20.500.12348/1237/WF_2777.pdf?sequence=1,Paper,https://www.semanticscholar.org/paper/An-Introduction-to-the-Mekong-Fisheries-of-Thailand/fa94270479a5b02a6c7c2404d6a700136f8a246d,Report,,,,,,Discherodontus ashmeadi,,,,Discherodontus ashmeadi,,,,,,,lateral migration
Distichodus rostratus,Distichodus rostratus,potamodromous,Full Migrant,,,,,,,,,,,,Breeding,potamodromous from IUCN; recruitment pulse between two lakes in (https://core.ac.uk/download/pdf/328025568.pdf) implies movement for breeding,,little information,Afrotropical|Palearctic,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Distichodus rostratus,Distichodus rostratus,,,,,,,,,,,
Distocyclus conirostris,Distocyclus conirostris,,,,,lateral migration,,,,,,,,,Breeding,,,"potamodromous, lateral",Neotropical,more than one central river,Least Concern,Stable,2023,0-100(km),1,,,,,,,,,,,,,,,Distocyclus conirostris,,,,,,,,
Doboatherina duodecimalis,Doboatherina duodecimalis,,,oceano-estuarine,,,,,,,,,,,,,,coastal,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),non-migratory,0,,,,,,,,,,,,,Atherinomorus duodecimalis,,,,,,,,,,
Doraops zuloagai,Doraops zuloagai,,,,,,,,Less100km,,,,,,,,,"potamodromous, longitudinal",Neotropical,one large river,Least Concern,Decreasing,2023,0-100(km),3,,,https://www.minambiente.gov.co/wp-content/uploads/2021/10/Gui%CC%81a-especies-migratorias-de-la-biodiversidad-en-Colombia-Volumen-2-peces.pdf,Book,,,,,,,,,,,,,,Doraops zuloagai,,,,,
Dormitator cubanus,Dormitator cubanus,,Full Migrant,,,,,,,,,,,,,,,amphidromous,Neotropical,more than one central river,Data Deficient,Unknown,2021,0-100(km),3,,,,,,,,,,,,Dormitator cubanus,,,,,,,,,,,amphidromous
Dormitator latifrons,Dormitator latifrons,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,coastal,Least Concern,Stable,2019,0-100(km),3,,,,,,,,,,,Dormitator latifrons,Dormitator latifrons,,,,,,,,,,,
Dormitator lebretonis,Dormitator lebretonis,amphidromous,,,,,,,,,,,,,,,,amphidromous,Afrotropical,coastal,Least Concern,Unknown,2020,0-100(km),3,,,,,,,,,,,Dormitator lebretonis,,,,,,,,,,,,
Dormitator maculatus,Dormitator maculatus,amphidromous,Full Migrant,,Amphidromous,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,coastal,Least Concern,Stable,2019,0-100(km),3,,,,,,,,,,,Dormitator maculatus,Dormitator maculatus,,Dormitator maculatus,,,,,,,,,
Dorosoma cepedianum,Dorosoma cepedianum,anadromous,Not a Migrant,,Anadromous,,,,,,,,,,Breeding,,,"potamodromous, longitudinal",Nearctic,more than one central river,Least Concern,Stable,2019,0-100(km),2,,Partial pop mig.,,,,,,,,,Dorosoma cepedianum,,,Dorosoma cepedianum,,,,,,,,,
Dorosoma petenense,Dorosoma petenense,anadromous,Not a Migrant,,Anadromous,,,,,,,,,,,,,anadromous,Nearctic|Neotropical,more than one central river,Least Concern,Stable,2019,0-100(km),2,,Partial pop mig.,,,,,,,,,Dorosoma petenense,,,Dorosoma petenense,,,,,,,,,
Drepane longimana,Drepane longimana,amphidromous,,,,,,,,,,,,,,,,amphidromous,NA,coastal,Least Concern,Stable,2014,0-100(km),3,,,https://doi.org/10.1007/978-3-030-51506-5_6,Paper,,,,,,,Drepane longimana,,,,,,,,,,,,
Drepane punctata,Drepane punctata,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2024,0-100(km),2,,,,,,,,,,,Drepane punctata,,,,,,,,,,,,
Drombus globiceps,Drombus globiceps,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Indomalayan|Oceanian,coastal,Least Concern,Unknown,2012,0-100(km),2,,,,,,,,,,,Drombus globiceps,Drombus globiceps,,,,,,,,,,,
Drombus triangularis,Drombus triangularis,amphidromous,,,,,,,,,,,,,,,,amphidromous,,coastal,Least Concern,Unknown,2019,0-100(km),2,,,,,,,,,,,Drombus triangularis,,,,,,,,,,,,
Ehirava fluviatilis,Ehirava fluviatilis,amphidromous,,,,,,,,,,,,,,,,amphidromous,Indomalayan,coastal,Data Deficient,Unknown,2017,0-100(km),3,,,,,,,,,,,Ehirava fluviatilis,,,,,,,,,,,,
Eigenmannia limbata,Eigenmannia limbata,,,,,lateral migration,,,,,,,,,Breeding,,,"potamodromous, lateral",Neotropical,more than one central river,Least Concern,Unknown,2023,0-100(km),2,,Partial pop mig.,http://www.jstor.org/stable/3683391,Paper,https://doi.org/10.1111/j.1095-8649.1998.tb01034.x,Paper,,,,,,,,,Eigenmannia limbata,,,,,,,,
Eigenmannia macrops,Eigenmannia macrops,,,,,lateral migration,,,,,,,,,,,,little information,Neotropical,more than one central river,Least Concern,Unknown,2023,little information,0,,,,,,,,,,,,,,,Eigenmannia macrops,,,,,,,,
Eigenmannia virescens,Eigenmannia virescens,,,,,lateral migration,,,,,,,,,,,,"potamodromous, longitudinal",Neotropical,more than one central river,Least Concern,Unknown,2024,0-100(km),3,,,https://doi.org/10.1111/jfb.14614,Paper,,,,,,,,,,,Eigenmannia virescens,,,,,,,,
Eleginus gracilis,Eleginus gracilis,amphidromous,,,Amphidromous,,,,,,,,,,,,,amphidromous,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),N/A,0-100(km),3,,,https://doi.org/10.1134/S0032945223020042,Paper,,,,,,,Eleginus gracilis,,,Eleginus gracilis,,,,,,,,,
Eleginus nawaga,Eleginus nawaga,amphidromous,,,,,,,,,,,,,,,,amphidromous,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),3,,,,,,,,,,,Eleginus nawaga,,,,,,,,,,,,
Eleotris acanthopomus,Eleotris acanthopoma,amphidromous,Full Migrant,amphidromous,,,,,,,,,,,,,,amphidromous,NA,coastal,Least Concern,Stable,2020,0-100(km),3,,,https://doi.org/10.1007/s10228-005-0289-z,Paper,,,,,,,Eleotris acanthopomus,Eleotris acanthopomus,Eleotris acanthopoma,,,,,,,,,,
Eleotris amblyopsis,Eleotris amblyopsis,amphidromous,Full Migrant,,Amphidromous,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,coastal,Least Concern,Stable,2019,0-100(km),3,,,,,,,,,,,Eleotris amblyopsis,Eleotris amblyopsis,,Eleotris amblyopsis,,,,,,,,,
Eleotris annobonensis,Eleotris annobonensis,amphidromous,,,,,,,,,,,,,,,,amphidromous,Afrotropical,coastal,Data Deficient,Unknown,2010,0-100(km),2,,,,,,,,,,,Eleotris annobonensis,,,,,,,,,,,,
Eleotris aquadulcis,Eleotris aquadulcis,,Full Migrant,,,,,,,,,,,,,,,"potamodromous, longitudinal",Australasian,more than one central river,Near Threatened,Decreasing,2021,0-100(km),2,,,,,,,,,,,,Eleotris aquadulcis,,,,,,,,,,,amphidromous
Eleotris oxycephala,Eleotris balia,amphidromous,,,,,,,,,,,,,,,,amphidromous,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),2,,,https://doi.org/10.1111/zsc.12366,Paper,,,,,,,Eleotris balia,,,,,,,,,,,,
Eleotris daganensis,Eleotris daganensis,,Full Migrant,,,,,,,,,,,,,,,amphidromous,Afrotropical,more than one central river,Least Concern,Unknown,2020,0-100(km),3,,,https://doi.org/10.2989/18142320509504089,Paper,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.3024,Paper,,,,,,Eleotris daganensis,,,,,,,,,,,amphidromous
